"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"2","CB",1,"L","N"
"3","XB",5,"M","O"
"4","XA",1,"L","N"
"5","XA",2,"L","N"
"6","XB",4,"M","N"
"7","XB",4,"M","N"
"8","FH",3,"M","N"
"9","XA",3,"L","N"
"10","XB",4,"M","N"
"11","PF",3,"M","N"
"12","CB",1,"L","N"
"13","XA",1,"L","N"
"14","CB",1,"L","N"
"15","XB",5,"M","O"
"16","XB",4,"M","N"
"17","JD",6,"M","N"
"18","PE",3,"M","N"
"19","PF",5,"M","O"
"20","CB",1,"L","N"
"21","XA",3,"L","O"
"22","XB",5,"M","O"
"23","FH",5,"M","N"
"24","IB",3,"M","N"
"25","CY",1,"L","N"
"26","XA",3,"L","O"
"27","XA",1,"L","N"
"28","XA",1,"L","N"
"30","XB",5,"M","O"
"31","FN",5,"M","O"
"32","XA",2,"L","N"
"33","XB",5,"M","O"
"34","XA",1,"L","N"
"35","CB",2,"L","O"
"36","XB",5,"M","O"
"37","XA",1,"L","N"
"38","CY",1,"L","N"
"39","CY",1,"L","N"
"40","CB",2,"L","O"
"41","PF",2,"M","N"
"42","CB",1,"L","N"
"43","XA",1,"L","N"
"44","XA",1,"L","N"
"45","CB",1,"L","N"
"46","XA",1,"L","N"
"47","XA",1,"L","N"
"48","PF",2,"M","N"
"49","XA",1,"L","N"
"50","XB",5,"M","O"
"51","CB",1,"L","N"
"52","PE",5,"M","O"
"54","CB",2,"L","O"
"55","XA",3,"L","N"
"56","CB",1,"L","N"
"57","XA",1,"L","N"
"58","XA",3,"L","N"
"59","XA",2,"L","N"
"60","XA",2,"L","N"
"61","XA",1,"L","N"
"62","XA",2,"L","N"
"64","CB",2,"L","O"
"65","DP",3,"L","N"
"66","XA",3,"L","N"
"67","CB",1,"L","N"
"68","XB",5,"M","O"
"69","DP",3,"L","O"
"70","PE",3,"M","N"
"71","XB",4,"M","N"
"72","XA",2,"L","N"
"73","XA",2,"L","N"
"74","XA",1,"L","N"
"75","XA",3,"L","O"
"76","DP",3,"L","O"
"77","XA",1,"L","N"
"78","XB",4,"M","N"
"79","FE",4,"M","N"
"80","XB",4,"M","N"
"81","XA",2,"L","N"
"82","01",2,"L","O"
"83","01",0,"L","O"
"85","XB",4,"M","N"
"86","XA",2,"L","N"
"87","XA",1,"L","N"
"88","XA",2,"L","N"
"89","XB",5,"M","O"
"90","XB",4,"M","N"
"91","DP",3,"L","O"
"92","XA",3,"L","O"
"93","XA",1,"L","N"
"94","01",6,"M","O"
"95","XB",5,"M","N"
"96","XA",1,"L","N"
"97","XA",2,"L","N"
"98","01",3,"L","N"
"99","01",3,"L","O"
"100","XA",1,"L","N"
"101","FH",3,"M","N"
"102","CB",2,"L","O"
"103","CB",1,"L","N"
"104","XA",1,"L","N"
"105","DP",3,"L","O"
"106","CY",1,"L","N"
"107","XA",3,"L","O"
"108","XA",1,"L","N"
"109","CB",1,"L","N"
"111","CY",1,"L","N"
"112","DP",3,"L","N"
"115","XA",2,"L","N"
"116","XB",5,"M","N"
"117","XB",4,"M","N"
"118","XB",5,"M","O"
"119","XB",5,"M","O"
"120","XA",1,"L","N"
"121","XA",2,"L","N"
"122","JD",6,"M","N"
"123","DP",3,"L","O"
"124","XB",5,"M","O"
"125","XA",1,"L","N"
"126","XB",4,"M","N"
"127","CY",1,"L","N"
"128","XA",3,"L","O"
"129","XA",1,"L","N"
"130","XA",1,"L","N"
"131","FI",1,"M","N"
"132","XA",3,"L","O"
"133","CB",2,"L","O"
"134","CB",2,"L","N"
"135","01",6,"M","O"
"136","JC",6,"M","N"
"137","IB",4,"M","N"
"138","XA",2,"L","N"
"139","01",3,"L","N"
"140","XA",2,"L","N"
"141","XA",2,"L","N"
"142","XB",5,"M","N"
"143","XA",1,"L","N"
"144","XA",3,"L","O"
"145","CB",2,"L","N"
"146","XA",3,"L","O"
"147","XA",1,"L","N"
"148","CB",2,"L","O"
"149","XA",1,"L","N"
"150","XB",5,"M","O"
"151","XB",4,"M","N"
"152","IB",5,"M","N"
"153","01",0,"L","O"
"154","PF",4,"M","N"
"155","FH",2,"M","N"
"157","XB",5,"M","N"
"158","XA",2,"L","N"
"159","XA",3,"L","O"
"160","XA",2,"L","N"
"161","XA",1,"L","N"
"162","CB",2,"L","O"
"163","XA",1,"L","N"
"164","CB",2,"L","O"
"166","FH",3,"M","N"
"167","XA",1,"L","N"
"168","CD",1,"L","N"
"169","XA",3,"L","O"
"170","XA",2,"L","N"
"171","XB",4,"M","N"
"172","XA",1,"L","N"
"173","XA",1,"L","N"
"174","FH",3,"M","N"
"175","01",3,"L","O"
"176","XB",5,"M","N"
"177","XA",2,"L","N"
"178","XA",1,"L","N"
"179","XB",4,"M","N"
"181","XA",1,"L","N"
"182","XA",3,"L","O"
"183","XA",3,"L","O"
"184","XA",3,"L","O"
"185","XA",3,"L","O"
"186","CB",1,"L","N"
"187","XA",1,"L","N"
"188","FH",2,"M","N"
"189","XA",1,"L","N"
"190","IB",6,"M","N"
"191","FH",2,"M","N"
"192","XA",1,"L","N"
"193","XA",3,"L","O"
"195","JD",6,"M","N"
"196","CB",1,"L","N"
"197","XB",5,"M","N"
"198","XB",5,"M","N"
"199","XB",5,"M","O"
"200","JD",6,"M","O"
"201","XA",2,"L","N"
"202","FE",4,"M","N"
"203","XB",4,"M","N"
"204","XA",1,"L","N"
"205","CY",1,"L","N"
"206","XA",3,"L","N"
"207","XB",5,"M","O"
"208","XA",2,"L","N"
"209","CB",2,"L","O"
"210","XB",5,"M","O"
"211","XA",2,"L","N"
"212","XB",5,"M","O"
"213","XA",1,"L","N"
"214","XA",1,"L","N"
"215","XA",1,"L","N"
"216","CY",1,"L","N"
"217","XA",1,"L","N"
"218","XA",1,"L","N"
"219","DP",3,"L","O"
"220","01",3,"L","O"
"221","XB",5,"M","O"
"222","CB",1,"L","N"
"223","01",6,"M","N"
"224","XA",1,"L","N"
"225","XA",1,"L","N"
"226","XA",3,"L","O"
"227","CB",1,"L","N"
"228","XB",4,"M","N"
"229","XA",2,"L","N"
"231","XA",2,"L","N"
"232","XB",4,"M","N"
"233","IB",3,"M","N"
"234","CB",2,"L","O"
"235","FH",2,"M","N"
"236","XA",2,"L","N"
"237","PF",5,"M","O"
"239","XA",2,"L","N"
"240","CY",1,"L","N"
"241","XB",4,"M","N"
"242","CB",1,"L","N"
"243","XB",4,"M","N"
"244","XA",1,"L","N"
"245","XA",2,"L","N"
"246","FH",5,"M","N"
"247","XA",3,"L","N"
"248","PF",2,"M","N"
"249","XA",1,"L","N"
"250","XA",3,"L","O"
"251","CY",1,"L","N"
"252","CB",2,"L","O"
"253","XB",5,"M","O"
"254","CB",1,"L","N"
"255","IB",3,"M","N"
"256","XA",3,"L","O"
"257","PF",3,"M","N"
"258","CY",1,"L","N"
"259","XA",1,"L","N"
"260","XA",2,"L","N"
"261","DP",3,"L","O"
"262","XA",3,"L","O"
"263","FH",6,"M","N"
"264","XA",1,"L","N"
"265","01",3,"L","O"
"266","XA",3,"L","O"
"268","JD",6,"M","N"
"269","XB",5,"M","O"
"270","XB",4,"M","N"
"271","CB",1,"L","N"
"272","01",3,"L","N"
"273","XA",2,"L","N"
"274","CB",1,"L","N"
"275","CB",1,"L","N"
"276","CB",2,"L","O"
"278","XA",1,"L","N"
"279","XA",3,"L","O"
"280","XA",1,"L","N"
"281","XA",3,"L","O"
"282","CB",1,"L","N"
"283","XA",1,"L","N"
"284","FE",4,"M","N"
"285","XB",4,"M","N"
"286","JC",6,"M","O"
"287","JC",6,"M","O"
"288","XB",5,"M","N"
"289","XA",1,"L","N"
"290","XA",1,"L","N"
"291","CB",1,"L","N"
"292","XA",2,"L","N"
"293","01",4,"M","O"
